epoch,RMSE,acc,loss,lr,top_k_categorical_accuracy,val_RMSE,val_acc,val_loss,val_top_k_categorical_accuracy
0,0.30875087,0.1344579,2.956879671218027,0.0049015,0.57479525,0.2946979,0.1786,2.1586879687973215,0.7086
1,0.2934712,0.20531422,2.1486875116984274,0.009703,0.70558125,0.29076535,0.2474,2.0777191829077806,0.75
2,0.29055786,0.2364919,2.083121528527014,0.0054955,0.74132097,0.28740534,0.262,1.9992415150509606,0.7838
3,0.28985786,0.24087591,2.0715296912791787,0.000694,0.7454602,0.2815467,0.313,1.9052208541314812,0.8156
4,0.28760263,0.25569698,2.0253891849806456,0.0043075,0.76533294,0.28332984,0.2926,1.920334275764755,0.813
5,0.2841152,0.27699396,1.9566600518823414,0.009109,0.79566497,0.27977902,0.3148,1.8439280398284332,0.8454
6,0.27777165,0.3157602,1.8543629013008551,0.0060895,0.8277328,0.26898742,0.3664,1.692977081371259,0.8786
7,0.27316844,0.34106284,1.7887534505429166,0.001288,0.84718263,0.25809187,0.4232,1.58242097383813,0.8978
8,0.2675452,0.36778975,1.724165984101624,0.0037135,0.8651193,0.25634584,0.44,1.5539811970312385,0.9054
9,0.2626402,0.38804078,1.6705556878929824,0.008515,0.8772031,0.25509945,0.4374,1.55721915673606,0.9034
10,0.25882754,0.40426385,1.6333440697785266,0.0066835,0.88303363,0.250243,0.4594,1.508795318724234,0.9126
11,0.2572805,0.40724587,1.6272988189937,0.001882,0.8839238,0.23653938,0.4898,1.3939673040486589,0.9208
12,0.2530783,0.42369148,1.5911327149491516,0.0031195,0.89104503,0.23859185,0.4934,1.4077320234685005,0.9192
13,0.24961142,0.4344846,1.5605007559671211,0.007921,0.893671,0.24140002,0.4816,1.446460047854653,0.9186
14,0.24560252,0.44986203,1.5303421123014642,0.0072775,0.9002359,0.23393063,0.497,1.396803821189494,0.9286
15,0.24365132,0.45582607,1.5176580749161626,0.002476,0.9016156,0.22209807,0.5394,1.3018120225471785,0.9376
16,0.24071907,0.4627025,1.4960593951433945,0.0025255,0.90597737,0.2202446,0.5482,1.2752542782433425,0.9386
17,0.23761706,0.475632,1.4726964051302842,0.007327,0.90869236,0.23045242,0.5212,1.3581917617894426,0.9256
18,0.23486201,0.4833541,1.4464942544343231,0.0078715,0.91314316,0.22499834,0.527,1.3071308452871782,0.9334
19,0.23367675,0.4873598,1.4365326122858144,0.00307,0.91423357,0.21287444,0.5622,1.228423051441772,0.9388
20,0.23179379,0.49423626,1.4248893827608478,0.0019315,0.91545755,0.21053828,0.5624,1.2260499498512172,0.9414
21,0.23004124,0.4978414,1.4079333279976243,0.006733,0.9177497,0.21625732,0.546,1.2731172978123533,0.941
22,0.22616513,0.5117278,1.3792525185200801,0.0084655,0.9233799,0.21541868,0.5484,1.2604531487332116,0.9402
23,0.22506176,0.5116833,1.3706445408521097,0.003664,0.92335767,0.20427531,0.577,1.1851078452943247,0.942
