epoch,RMSE,acc,loss,lr,top_k_categorical_accuracy,val_RMSE,val_acc,val_loss,val_top_k_categorical_accuracy
0,0.29179054,0.22750133,2.4618971104593874,0.0049015,0.73613584,0.27129278,0.3436,1.7662917466103276,0.854
1,0.2709838,0.34531334,1.76269312640919,0.009703,0.85855436,0.26260895,0.4026,1.6491959034642087,0.8834
2,0.25245163,0.42484868,1.5911244609633097,0.0054955,0.88997686,0.23007822,0.4986,1.3936428178714801,0.925
3,0.24115077,0.4657513,1.4977073910526264,0.000694,0.906378,0.21154268,0.563,1.228888312472573,0.9432
4,0.22891095,0.50387216,1.4034190346003215,0.0043075,0.9175939,0.20376995,0.58,1.1893991269642794,0.9474
5,0.21453363,0.5423714,1.2902105046439174,0.009109,0.93219244,0.20451976,0.576,1.2058524685569956,0.9436
6,0.20302385,0.5749065,1.2014819372160825,0.0060895,0.9441205,0.18028976,0.6386,1.0478030292293694,0.9564
7,0.19692747,0.59201974,1.1647942417220158,0.001288,0.9465462,0.16021144,0.6868,0.9052810186072241,0.9682
8,0.188679,0.613695,1.1028925423703202,0.0037135,0.95409024,0.16448854,0.6854,0.9185513718218743,0.9624
9,0.18013676,0.63554835,1.0422543867937033,0.008515,0.95916414,0.17822862,0.6384,1.0784157635290412,0.9566
10,0.17429255,0.65016913,0.9992614323417551,0.0066835,0.9617456,0.15545315,0.7046,0.8508356696442713,0.9722
11,0.19802432,0.5854771,1.1783782635079767,0.001882,0.94267404,0.14417088,0.7372,0.776634087290945,0.9788
12,0.169728,0.6620749,0.9719401905603292,0.0031195,0.9652617,0.142661,0.7284,0.7876142572753037,0.978
13,0.17223823,0.6458296,1.0258668929375596,0.007921,0.9524657,0.27246186,0.347,1.8115587325035771,0.8574
14,0.23345987,0.4810842,1.4437902578790565,0.0072775,0.9100721,0.18359493,0.6214,1.0549646970591968,0.9574
15,0.17814198,0.6421355,1.0243955820889072,0.002476,0.961345,0.13991351,0.7424,0.746464536537098,0.9804
16,0.1605942,0.6822147,0.909883567483395,0.0025255,0.9694677,0.13131058,0.7506,0.7162789796726613,0.9802
17,0.14973195,0.7092309,0.8380120222904259,0.007327,0.97374046,0.13610055,0.7466,0.7370156494877006,0.9774
18,0.1425676,0.725632,0.7912842333263745,0.0078715,0.9774791,0.13452025,0.757,0.7215987700450269,0.9808
19,0.13849115,0.7347561,0.768258131641244,0.00307,0.9779464,0.11744438,0.7882,0.628100534783134,0.984
20,0.13928515,0.7323749,0.7845328495885334,0.0019315,0.9775903,0.12666953,0.766,0.6774334809448146,0.9844
21,0.13405833,0.74354637,0.7414494074174087,0.006733,0.9806836,0.1206146,0.7692,0.6621514015559908,0.982
22,0.12449605,0.7639087,0.6815133156546371,0.0084655,0.9833764,0.120984256,0.768,0.6823340194134773,0.9792
23,0.12837274,0.7554077,0.7058335175734091,0.003664,0.9816183,0.10867318,0.7938,0.6008118138283114,0.9862
24,0.12542042,0.762885,0.689642612113209,0.0013375,0.9826197,0.10622261,0.8086,0.5623121570937241,0.988
