epoch,RMSE,acc,loss,lr,top_k_categorical_accuracy,val_RMSE,val_acc,val_loss,val_top_k_categorical_accuracy
0,0.28927514,0.23989543,2.9590242084428486,0.0022285,0.7040196,0.23660341,0.50416666,1.433183085411153,0.91983336
1,0.18929307,0.60030407,1.1287550148572105,0.004357,0.94723374,0.109851256,0.81616664,0.5664216254619842,0.991
2,0.12016685,0.77957207,0.6571249719615224,0.0064855,0.98468554,0.08789244,0.8631667,0.44449820496300435,0.9913333
3,0.0880241,0.84539086,0.47656246037555355,0.008614,0.9909152,0.060608275,0.9088333,0.29751477937432047,0.9956667
4,0.069698006,0.88165605,0.37987904602043426,0.0092575,0.9934367,0.053835295,0.918,0.2720014383184149,0.99633336
5,0.05722497,0.9029776,0.31075313169253893,0.007129,0.9950311,0.045780867,0.92183334,0.26541999929604376,0.99616665
6,0.051861547,0.91198826,0.28181419809117086,0.0050005,0.9956801,0.0379842,0.93883336,0.21620644438774028,0.99733335
7,0.04322986,0.92776626,0.23406758609174516,0.002872,0.99699646,0.028437197,0.9536667,0.1572972038324843,0.9978333
8,0.04026092,0.9340329,0.21794468053049942,0.0007435,0.99731165,0.022045407,0.9655,0.1175469379832453,0.9985
9,0.03752374,0.9377596,0.20398975911187475,0.001585,0.9972931,0.02529392,0.96133333,0.13118361586585958,0.9985
10,0.049681485,0.91558516,0.2730202893034459,0.0037135,0.9957728,0.026382724,0.9565,0.13969861637761302,0.998
11,0.04089164,0.9311962,0.21964141679195578,0.005842,0.99682957,0.025742823,0.958,0.1407803284757315,0.99833333
12,0.03140469,0.94879115,0.16957810256454472,0.0079705,0.9978122,0.024000404,0.9573333,0.14128415485685494,0.99866664
13,0.028997,0.95248073,0.15496564891882234,0.009901,0.99836844,0.030475711,0.9493333,0.1736323041048773,0.9978333
14,0.028291604,0.9536117,0.15091427054462855,0.0077725,0.99836844,0.02552312,0.9601667,0.13821708590307452,0.9981667
15,0.025506992,0.9583951,0.13805744881973497,0.005644,0.99836844,0.021794423,0.96283334,0.13066241479023022,0.99866664
