epoch,RMSE,acc,loss,lr,top_k_categorical_accuracy,val_RMSE,val_acc,val_loss,val_top_k_categorical_accuracy
0,0.20270734,0.5563075,1.6124818717220424,0.0022285,0.9047575,0.08519793,0.84066665,0.4284430000376194,0.9931667
1,0.07846208,0.8634678,0.42752099898705953,0.004357,0.99121183,0.037105177,0.938,0.18797564387638518,0.99866664
2,0.040802177,0.9321047,0.21759336331466367,0.0064855,0.9975712,0.024350658,0.96033335,0.1282496222076898,0.99883336
3,0.04136845,0.9296574,0.22181440612455391,0.008614,0.9976083,0.02862131,0.9495,0.16098787720770913,0.99883336
4,0.031417966,0.9482349,0.16811449826868802,0.0092575,0.9982943,0.032752547,0.94516665,0.18004359396055658,0.99916667
5,0.029914068,0.9497367,0.16212606481330327,0.007129,0.9986095,0.031981535,0.9508333,0.15982523394074846,0.99833333
6,0.027059378,0.9555399,0.14638724980212237,0.0050005,0.9986651,0.021369908,0.968,0.11162710471197645,0.99916667
7,0.026462654,0.95568824,0.14377110396923226,0.002872,0.9984611,0.018138153,0.97183335,0.10325389803248516,0.9995
8,0.025202356,0.95770913,0.13765428890646814,0.0007435,0.9990359,0.015979389,0.9763333,0.08042640746273894,0.9996667
9,0.022762896,0.9621403,0.12390459687715644,0.001585,0.99890614,0.010624117,0.9845,0.04846579530969896,0.99983335
10,0.021601006,0.9641983,0.11491793660196696,0.0037135,0.99933255,0.012982337,0.98116666,0.06248449349399418,0.9995
11,0.020467862,0.9659782,0.10958893377736136,0.005842,0.9993696,0.0148610305,0.9788333,0.0721365315245187,0.9993333
12,0.022182295,0.96241844,0.12477072688812532,0.0079705,0.9990359,0.012373729,0.97933334,0.06351711398159016,0.9993333
13,0.018593125,0.96911156,0.09998822946723598,0.009901,0.9993511,0.017017527,0.9735,0.08236575595281542,0.9995
14,0.017600346,0.9713735,0.0936244655475385,0.0077725,0.9992213,0.012522917,0.9795,0.06801670710457132,0.99983335
15,0.018030852,0.96989024,0.0961419856695177,0.005644,0.9994623,0.012897742,0.9785,0.06665494182008377,1.0
16,0.01650428,0.97268987,0.09028556577510992,0.0035155,0.9992955,0.012186138,0.9795,0.06696729615895435,0.99983335
17,0.015710577,0.97428435,0.08381198767547224,0.001387,0.9995365,0.011201099,0.9825,0.0627520915536963,0.99983335
18,0.015278408,0.9751743,0.08041853328047305,0.0009415,0.9995365,0.010237197,0.9845,0.05375663998804273,0.99983335
19,0.014689719,0.9764907,0.0783307809143423,0.00307,0.9996848,0.008753864,0.9863333,0.04592653196255498,0.99983335
20,0.014741849,0.9761013,0.07786224378663543,0.0051985,0.99944377,0.009122721,0.98433334,0.04912211523797522,0.99983335
21,0.013912401,0.97758454,0.07462583835952556,0.007327,0.99955505,0.01226641,0.9795,0.06815655022720865,0.99983335
22,0.013920818,0.9766946,0.07234797055162523,0.0094555,0.99970335,0.01421329,0.9785,0.06912685746941319,0.99983335
23,0.01295006,0.97897506,0.06835172574531184,0.008416,0.9996848,0.009884487,0.9835,0.051700905985892456,0.9996667
24,0.012912471,0.9789565,0.06857015569499567,0.0062875,0.99964774,0.011884288,0.98183334,0.06006524449541293,0.99983335
25,0.012575304,0.97897506,0.06525204402569475,0.004159,0.99975896,0.010990268,0.9815,0.05877233980758552,0.9996667
26,0.012248006,0.9800319,0.06391314464339169,0.0020305,0.9996848,0.0102968,0.98233336,0.058911531337566596,0.9996667
27,0.01254095,0.97956836,0.06614843789210145,0.000298,0.9996663,0.009202263,0.9838333,0.04941981236395882,0.99983335
28,0.012086703,0.9795869,0.06495253767282792,0.0024265,0.9997775,0.008557164,0.986,0.04364028644619232,0.99983335
29,0.011743039,0.98090327,0.06185001663938806,0.004555,0.99979603,0.008316413,0.98616666,0.04431317454114794,1.0
